index,coefficient,words
1,-1.111955039,worst 
2,-0.68295768,waste 
3,-0.668742193,frustrating 
4,-0.634978999,boring 
5,-0.591508151,impossible 
6,-0.567053011,guest 
7,-0.546121281,confusing 
8,-0.508486816,labs 
9,-0.485197454,programming 
10,-0.469757135,decent 
11,-0.423735592,project 
12,-0.422539887,often 
13,-0.410559952,somewhat 
14,-0.385649242,freshman 
15,-0.385376438,distro 
16,-0.36323052,assignment 
17,-0.345094345,done 
18,-0.340210741,anything 
19,-0.297565593,midterm 
20,-0.297533212,development 
21,-0.281306397,terrible 
22,-0.276869575,guy 
23,-0.274781849,rather 
24,-0.273295192,slides 
25,-0.270146736,sometimes 
26,-0.268238364,office 
27,-0.266638408,terms 
28,-0.265089336,harder 
29,-0.25944552,could 
30,-0.257524168,away 
31,-0.250579399,ask 
32,-0.246408945,wish 
33,-0.245657084,dry 
34,-0.242390177,focus 
35,-0.241028039,last 
36,-0.235197344,required 
37,-0.22999428,expect 
38,-0.229385455,attention 
39,-0.223757599,mostly 
40,-0.223373144,spring 
41,-0.219131439,topic 
42,-0.219103881,times 
43,-0.217698561,way 
44,-0.217302796,easy 
45,-0.215943598,lectures 
46,-0.213614036,needs 
47,-0.203120902,bit 
48,-0.202086124,papers 
49,-0.202071,projects 
50,-0.201590334,cool 
51,-0.198834317,fine 
52,-0.198408699,major 
53,-0.197854996,future 
54,-0.19762055,little 
55,-0.196309334,lecture 
56,-0.193068551,spent 
57,-0.187538634,good 
58,-0.186326146,content 
59,-0.183176523,least 
60,-0.176904533,grading 
61,-0.174088833,grader 
62,-0.173011551,enjoy 
63,-0.172076291,introduction 
64,-0.171814593,issues 
65,-0.171683257,much 
66,-0.171261831,wanted 
67,-0.169118553,day 
68,-0.16748432,bad 
69,-0.164120256,nice 
70,-0.163662789,half 
71,-0.161391843,used 
72,-0.160362436,care 
73,-0.157011008,tests 
74,-0.156334248,grammar 
75,-0.155368735,section 
76,-0.154139552,keep 
77,-0.152906623,pretty 
78,-0.152123736,consuming 
79,-0.151044697,structure 
80,-0.149688404,looking 
81,-0.149642171,works 
82,-0.148944785,outside 
83,-0.145409916,since 
84,-0.145241867,necessary 
85,-0.144367609,paper 
86,-0.141209159,interesting 
87,-0.138666359,huge 
88,-0.138031069,grades 
89,-0.129615823,long 
90,-0.128811456,material 
91,-0.128670409,think 
92,-0.127094062,found 
93,-0.123287877,fairly 
94,-0.123093887,teach 
95,-0.117478075,busy 
96,-0.111743939,came 
97,-0.110079977,field 
98,-0.103650066,instruction 
99,-0.09781056,graded 
100,-0.097561524,group 
101,-0.096238992,requirement 
102,-0.088930572,tough 
103,-0.085866485,put 
104,-0.084723001,hard 
105,-0.084449872,winter 
106,-0.079244817,willing 
107,-0.078186832,assignments 
108,-0.077360913,focused 
109,-0.076328305,background 
110,-0.076143933,fall 
111,-0.075226867,actually 
112,-0.067067448,quizzes 
113,-0.065822017,people 
114,-0.065475439,exactly 
115,-0.064405197,intro 
116,-0.064403189,workload 
117,-0.064206866,annoying 
118,-0.062359067,design 
119,-0.062044518,lots 
120,-0.060439771,nothing 
121,-0.060439262,culture 
122,-0.060281839,would 
123,-0.059825547,though 
124,-0.058324035,points 
125,-0.058140365,sure 
126,-0.058111044,learning 
127,-0.057988384,something 
128,-0.057868893,difficult 
129,-0.056576685,test 
130,-0.056375971,gave 
131,-0.056363116,speaking 
132,-0.053577272,tedious 
133,-0.053353335,overall 
134,0.015121706,exams 
135,0.015736785,due 
136,0.016311091,say 
137,0.01679502,write 
138,0.017536971,general 
139,0.018774205,took 
140,0.019753104,spch 
141,0.019835228,homework 
142,0.021228518,ll 
143,0.02217413,exam 
144,0.022486168,students 
145,0.02288403,teachers 
146,0.022990263,use 
147,0.023602984,went 
148,0.023954713,sweet 
149,0.025268014,recommend 
150,0.025547699,point 
151,0.026205175,super 
152,0.026709604,stuff 
153,0.027340794,another 
154,0.028120545,solid 
155,0.028917254,clear 
156,0.029183496,already 
157,0.029285159,making 
158,0.029475206,also 
159,0.029490296,engineering 
160,0.031034822,straight 
161,0.032773374,high 
162,0.032826915,funny 
163,0.033157087,know 
164,0.034136915,spend 
165,0.035914405,back 
166,0.03733336,effort 
167,0.037661912,etc 
168,0.037790933,goes 
169,0.042881802,talking 
170,0.045068711,challenging 
171,0.045697423,instead 
172,0.047118404,short 
173,0.047376121,knowledgeable 
174,0.047804688,big 
175,0.049040889,student 
176,0.049466043,philosophy 
177,0.049841852,seminar 
178,0.051861529,style 
179,0.051876863,extremely 
180,0.052860535,load 
181,0.054036453,open 
182,0.054991263,end 
183,0.056042595,learn 
184,0.057683923,relatively 
185,0.057739558,ve 
186,0.057905817,enjoyed 
187,0.058174253,thought 
188,0.058269789,writing 
189,0.064458205,next 
190,0.064935913,courses 
191,0.065911512,organized 
192,0.066877125,texts 
193,0.066921224,always 
194,0.067809898,understand 
195,0.068363212,review 
196,0.068543946,hours 
197,0.069336127,instructor 
198,0.069405706,essays 
199,0.070571872,see 
200,0.071065147,follow 
201,0.071214943,studying 
202,0.079485104,discussions 
203,0.080166809,learned 
204,0.082126694,knows 
205,0.082463924,far 
206,0.082616585,every 
207,0.08360111,give 
208,0.085789371,helps 
209,0.088145676,pace 
210,0.090092721,understanding 
211,0.091326672,interest 
212,0.091839834,pay 
213,0.092306811,incredibly 
214,0.092732138,well 
215,0.092944273,getting 
216,0.096389912,psych 
217,0.097749008,easily 
218,0.098998384,online 
219,0.099058338,concepts 
220,0.099068767,passionate 
221,0.099787343,may 
222,0.100873328,interested 
223,0.102749278,classes 
224,0.103552481,final 
225,0.111056173,study 
226,0.112341639,straightforward 
227,0.113214603,meas 
228,0.113374699,beginning 
229,0.113456944,grade 
230,0.113770361,working 
231,0.114360155,teaches 
232,0.114603934,m 
233,0.114612886,opportunity 
234,0.114966962,worth 
235,0.116553788,math 
236,0.117846226,quite 
237,0.118248401,english 
238,0.118738483,b 
239,0.120684545,taught 
240,0.122373588,takes 
241,0.125970023,throughout 
242,0.12743938,help 
243,0.127774236,especially 
244,0.129807412,right 
245,0.132313611,improved 
246,0.137838334,glad 
247,0.13811353,thinking 
248,0.138911184,fair 
249,0.140693759,answer 
250,0.141547545,around 
251,0.142114008,extra 
252,0.143701526,participation 
253,0.144630138,speakers 
254,0.145506974,page 
255,0.147487566,spanish 
256,0.147641886,excited 
257,0.148383629,tell 
258,0.149948534,completely 
259,0.157197056,quickly 
260,0.157890276,else 
261,0.159563728,everyone 
262,0.164584757,experience 
263,0.16579478,enjoyable 
264,0.166787162,matter 
265,0.170594624,helpful 
266,0.172360523,reasonable 
267,0.175197521,possible 
268,0.176081779,teacher 
269,0.17990991,gives 
270,0.180380872,northwestern 
271,0.183437701,heavy 
272,0.184629125,reading 
273,0.184795737,majors 
274,0.187665013,taking 
275,0.189350457,anyone 
276,0.191804678,easier 
277,0.195509084,non 
278,0.195852157,made 
279,0.198128731,midterms 
280,0.199259418,research 
281,0.200371913,fast 
282,0.201421293,home 
283,0.202037592,definitely 
284,0.204734554,love 
285,0.2078964,nu 
286,0.214399423,even 
287,0.215726989,world 
288,0.216039161,knowledge 
289,0.218100027,professors 
290,0.218239442,mind 
291,0.219531524,homeworks 
292,0.222220126,look 
293,0.223984066,engaging 
294,0.224501594,enthusiastic 
295,0.23896584,examples 
296,0.239007876,needed 
297,0.244739431,applicable 
298,0.24797248,highly 
299,0.248914547,behind 
300,0.250041652,sets 
301,0.251770779,entertaining 
302,0.25221934,early 
303,0.254889368,fun 
304,0.257516849,favorite 
305,0.271546672,social 
306,0.275122019,relevant 
307,0.284511094,manageable 
308,0.291321886,helped 
309,0.299790438,informative 
310,0.305865658,ever 
311,0.329903516,forward 
312,0.331292615,loved 
313,0.337416897,doable 
314,0.340063133,cares 
315,0.356554008,must 
316,0.369002299,truly 
317,0.372684188,fascinating 
318,0.37406347,summer 
319,0.376485295,wonderful 
320,0.396471546,great 
321,0.411139879,man 
322,0.438174031,makes 
323,0.45425074,lecturer 
324,0.463833722,fantastic 
325,0.467462527,best 
326,0.502826082,incredible 
327,0.512798114,sci 
328,0.623247657,amazing 
329,0.625609614,excellent 
330,0.696073512,awesome 
